SESSION_ID,PARTNER,RISK_SCORE,RISK_LEVEL,FINDINGS,CONFIDENCE,APPROVED_BY,APPROVED_AT,CREATED_AT
ui-1779801108030,30100003,92,CRITICAL,"[{""finding"":""Connected group exposure 129.07% of APS221 limit; immediate Board notification overdue"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""relationship analysis"",""confidence"":0.95},{""finding"":""DTI ratio 7.20% exceeds 6.00% APRA limit; breach reporting obligation triggered"",""standard"":""DTI_NOTICE"",""severity"":""HIGH"",""evidenceSource"":""pattern detection"",""confidence"":0.92},{""finding"":""AUD 2.1M unsecured business loan with zero collateral and deteriorating forward position"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern detection"",""confidence"":0.85},{""finding"":""No payment history since August 2025 loan origination; income verification null and unverifiable"",""standard"":""CPS230"",""severity"":""HIGH"",""evidenceSource"":""pattern detection"",""confidence"":0.82}]",0.88,risk_officer,2026-05-26 13:12:52,2026-05-26 13:12:52
ui-1779801304643,30910005,42,MEDIUM,"[{""finding"":""Missing DTI ratio prevents assessment of debt burden and repayment capacity"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""PatternAgent"",""confidence"":0.85},{""finding"":""No loan history recorded for established customer profile - unusual pattern"",""standard"":""CPS230"",""severity"":""MEDIUM"",""evidenceSource"":""PatternAgent"",""confidence"":0.85},{""finding"":""Zero collateral despite apparent credit profile indicates potential undisclosed risk"",""standard"":""APS221"",""severity"":""MEDIUM"",""evidenceSource"":""PatternAgent"",""confidence"":0.85},{""finding"":""No recent payment activity prevents verification of payment behavior reliability"",""standard"":""CPS230"",""severity"":""MEDIUM"",""evidenceSource"":""PatternAgent"",""confidence"":0.85}]",0.68,,,2026-05-26 13:15:24
ui-1779801753937,30100003,92,CRITICAL,"[{""finding"":""Connected group exposure 129.07% of APS 221 limit - material breach requiring immediate Board notification"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""relationship_analysis"",""confidence"":0.95},{""finding"":""DTI ratio 7.20% exceeds APRA 6.00% limit - regulatory breach with unreported status"",""standard"":""DTI_NOTICE"",""severity"":""HIGH"",""evidenceSource"":""pattern_detection"",""confidence"":0.92},{""finding"":""AUD 2.1M business loan unsecured with zero collateral backing - elevated credit risk"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern_detection"",""confidence"":0.85},{""finding"":""No payment activity recorded on active loan - potential forbearance or default indicator"",""standard"":""APS221"",""severity"":""MEDIUM"",""evidenceSource"":""trajectory_analysis"",""confidence"":0.78}]",0.88,risk_officer,2026-05-26 13:33:03,2026-05-26 13:33:03
ui-1779803239351,30100003,92,CRITICAL,"[{""finding"":""APS 221 breach: Group exposure 129.1% of large exposure limit requires immediate APRA notification"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""Agent pattern analysis"",""confidence"":0.92},{""finding"":""DTI ratio 7.20% exceeds APRA 6.00% limit as of February 2026 activation date"",""standard"":""DTI_NOTICE"",""severity"":""HIGH"",""evidenceSource"":""Agent pattern analysis"",""confidence"":0.9},{""finding"":""AUD 2.1M business loan entirely unsecured with zero collateral backing and unverified income source"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""Agent pattern analysis"",""confidence"":0.85},{""finding"":""No recent payments recorded on active loan since August 2025 with deteriorating forward position"",""standard"":""CPS230"",""severity"":""HIGH"",""evidenceSource"":""Agent trajectory analysis"",""confidence"":0.82}]",0.88,risk_officer,2026-05-26 13:48:13,2026-05-26 13:48:13
ui-1779803904991,30100001,78,CRITICAL,"[{""finding"":""Connected group exposure 129.07% of APS221 limit—material breach requiring immediate APRA notification."",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""Agent relationship analysis"",""confidence"":0.95},{""finding"":""Overdue loan payments 81 and 50 days with OPEN status indicates credit deterioration and repayment stress."",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""Agent pattern analysis"",""confidence"":0.88},{""finding"":""DTI ratio 5.80% at 96.7% of APRA 6.00% limit; zero collateral against AUD 2.83M debt exposure."",""standard"":""CPS230"",""severity"":""HIGH"",""evidenceSource"":""Agent pattern analysis"",""confidence"":0.9},{""finding"":""AUD 490K annual income undocumented; expiry date absent. Term deposit AUD 250K misclassified as loan."",""standard"":""CPS230"",""severity"":""MEDIUM"",""evidenceSource"":""Agent pattern analysis"",""confidence"":0.85}]",0.92,risk_officer,2026-05-26 13:59:16,2026-05-26 13:59:16
ui-1779804342832,30100001,78,CRITICAL,"[{""finding"":""Connected group exposure 129.1% of APS221 limit—material breach requiring immediate APRA notification"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern_analysis"",""confidence"":0.95},{""finding"":""DTI ratio 5.80 exceeds APRA prudential threshold of 6.00 with minimal 0.20 buffer capacity"",""standard"":""CPS230"",""severity"":""HIGH"",""evidenceSource"":""trajectory_analysis"",""confidence"":0.88},{""finding"":""Multiple loans 50-81 days overdue with zero collateral recorded against AUD 2.83M debt exposure"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern_analysis"",""confidence"":0.9},{""finding"":""Term deposit classified as debt obligation—accounting anomaly suggests off-balance-sheet exposure masking true leverage"",""standard"":""APS221"",""severity"":""MEDIUM"",""evidenceSource"":""pattern_analysis"",""confidence"":0.83}]",0.92,risk_officer,2026-05-26 14:06:43,2026-05-26 14:06:43
ui-1779804420025,30100003,92,CRITICAL,"[{""finding"":""Connected group exposure 129.07% of APS221 limit triggers mandatory Board notification within 3 business days"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""relationship analysis"",""confidence"":0.95},{""finding"":""Customer DTI ratio 7.20% exceeds APRA 6.00% limit; February 2026 activation requires APRA notification within 5 days"",""standard"":""DTI_NOTICE"",""severity"":""HIGH"",""evidenceSource"":""pattern analysis"",""confidence"":0.92},{""finding"":""AUD 2.1M business loan unsecured with zero collateral and sector code null indicating incomplete loan documentation"",""standard"":""APS221"",""severity"":""HIGH"",""evidenceSource"":""pattern analysis"",""confidence"":0.88},{""finding"":""No recent payments on active loan since August 2025 with deteriorating forward DTI position indicates credit deterioration risk"",""standard"":""APS221"",""severity"":""MEDIUM"",""evidenceSource"":""trajectory analysis"",""confidence"":0.85}]",0.87,risk_officer,2026-05-26 14:08:12,2026-05-26 14:08:12
ui-1779856919825,30100001,50,MEDIUM,"[{""finding"":""Risk analysis for 30100001 completed via pattern agent"",""evidenceSource"":""pattern-agent"",""confidence"":1}]",0.50,,,2026-05-27 04:43:19
ui-1779857341972,30100001,50,MEDIUM,"[{""finding"":""Risk analysis for 30100001 completed via pattern agent"",""evidenceSource"":""pattern-agent"",""confidence"":1}]",0.50,,,2026-05-27 04:49:37
ui-1779857439561,30100001,50,MEDIUM,"[{""finding"":""Risk analysis for 30100001 completed via pattern agent"",""evidenceSource"":""pattern-agent"",""confidence"":1}]",0.50,,,2026-05-27 04:51:11
